"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Usually colorless, also white, grey, pink, blue or violet","Other","Pollucite","Mineral","Zeolite","Isometric hexoctahedralH-M symbol: (4/m32/m)Space group: Ia3d","Euhedral, tabular crystal of colorless, translucent and lustrous pollucite with frosted crystal faces from Afghanistan (size: 2.7 x 2.4 x 1.2 cm)","None observed","Isometric","Isotropic or very weakly anisotropic","9.GB.05","a = 13.67 \u00c5; Z=16","Cs(Si<sub>2</sub>Al)O<sub>6</sub>.nH<sub>2</sub>O","White","Transparent to translucent","6.5 to 7","Vitreous to greasy","240px-Pollucite-193819.jpg","1.508-1.528","Usually massive, rare crystals are normally trapezohedral or cubic","2.7 to 3.0"
,"Sulfosalts","Polybasite","Mineral","Sulfosalt",,"Locality: Arizpe, Sonora, Mexico. Scale bar is one inch (2.5 cm.)","poor on (001)","monoclinic",,"02.GB.15",,"[(Ag,Cu)<sub>6</sub>(Sb,As)<sub>2</sub>S<sub>7</sub>][Ag<sub>9</sub>CuS<sub>4</sub>]","black with reddish tint",,"1.5-2","metallic, adamantine or glimmering","240px-Polybasite_-_Arizpe%2C_Sonora%2C_Mexico.jpg",,,"6-6.2"
"Colorless, white, gray; often salmon-pink to brick-red from included iron oxide","Sulfates","Polyhalite","Mineral","Sulfate","Triclinic pinacoidal Space group: P1","Museum specimen of polyhalite and anhydrite","Perfect on {101}; parting on {010}","Triclinic (pseudo-orthorhombic)","Biaxial (-)","07.CC.65","a = 6.95 \u00c5, b = 8.88 \u00c5, c = 6.95 \u00c5; \u03b1 = 104.06\u00b0, \u03b2 = 113.94\u00b0, \u03b3 = 101.15\u00b0; Z=4","K<sub>2</sub>Ca<sub>2</sub>Mg(SO<sub>4</sub>)<sub>4</sub>\u00b7<sub>2</sub>H<sub>2</sub>O","White","Transparent","3.5","Vitreous to resinous","240px-History_museum_of_Truskavets_081.jpg","n\u03b1 = 1.546 - 1.548 n\u03b2 = 1.558 - 1.562 n\u03b3 = 1.567","Typically fibrous, foliated, massive; rarely as tabular crystals","2.78"
"Colorless, white to greenish white","Oxides","Portlandite","Mineral","Oxide","Trigonal (3 2/m) - hexagonal scalenohedral","Portlandite and ettringite","Perfect on {0001}","Trigonal","Uniaxial (-)","04.FE.05","a = 3.589 \u00c5, c = 4.911 \u00c5; Z = 1","Ca(OH)<sub>2</sub>",,"Transparent","2","Pearly on cleavages","240px-Portlandite%2C_Ettringite_-_Mineralogisches_Museum_Bonn.jpg","n\u03c9 = 1.574 n\u03b5 = 1.547","Hexagonal plates; commonly fibrous, powdery, massive.","2.23"
"Sky-blue to dark-blue","Other","Posnjakite","Mineral","Copper","Monoclinic domaticH-M symbol: (m)Space group: Pm","Posnjakite from \u0160pania Dolina in Slovakia",,"Monoclinic",,"7.DD.10","a = 10.578 \u00c5, b = 6.345 \u00c5, c = 7.863 \u00c5; \u03b2 = 117.98\u00b0; Z = 2","<sub>488</sub>.<sub>32</sub> g",,,"2 to 3","Vitreous","240px-Posnjakite-113800.jpg","n\u03b1 = 1.625 n\u03b2 = 1.680 n\u03b3 = 1.706 ","Crystals scaly, or as crusts; earthy",
"Colorless, Light pink","Silicates","Poudretteite","Mineral","Cyclosilicate",,"Faceted poudretteite, 0.51 ct, Mogok, Myanmar","None","Hexagonal","Uniaxial +","09.CM.05",,"KNa<sub>2</sub>B<sub>3</sub>Si<sub>12</sub>O<sub>30</sub>","White","Transparent","5","Vitreous (Glassy)","240px-Poudretteit-G-EmpireTheWorldOfGems.jpg","1.511 to 1.532","Roughly equant barrel-shaped prismatic crystals","2.51"
"Straw-yellow, greenish yellow, yellow-brown, brown, colorless, may show blue to black zones","Other","Powellite","Mineral","Molybdate","Tetragonal dipyramidalH-M symbol: (4/m)Space group: I 41/a","Yellow-honey powellite crystal with colorless needles of scolecite, from Yeola, Nasik, Maharashtra, India
(size: 108 x 75\u00a0mm, 272 g)","Indistinct on {011}, {112} and {001}","Tetragonal","Uniaxial (+)","07.GA.05","a = 5.222 \u00c5, c = 11.425 \u00c5; Z=2","<sub>200</sub>.<sub>02</sub> g","light yellow","Transparent","3.5-4","Adamantine","240px-6666M-powellite1.jpg","n\u03c9 = 1.974 n\u03b5 = 1.984","Flat tabular crystals often paper-thin on {001}, may be crusty to pulverulent or massive","4.25"
"Colorless to gray to yellow, yellow-green or white","Silicates","Prehnite","Mineral","Silicate",,"Prehnite (light) with epidote (dark)","Distinct on ","Orthorhombic - Pyramidal (mm2)","Biaxial (+)","09.DP.20 (Inosilicate transitional to phyllosilicate)",,"Ca<sub>2</sub>Al(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>",,"Semi-transparent to translucent","6 - 6.5","Vitreous - pearly","240px-Prehnite_Epidpte_edit.jpg","n\u03b1 = 1.611 - 1.632 n\u03b2 = 1.615 - 1.642 n\u03b3 = 1.632 - 1.665","Globular, reniform to stalactitic","2.8 - 2.95"
"Scarlet-vermilion","Sulfosalts","Proustite","Mineral","Sulfosalt","H-M Symbol (32/m)","Proustite on matrix, crystal size: 1 cm, Cha\u00f1arcillo district, Chile","Distinct on {1011}","Trigonal - Hexagonal Scalenohedral Space Group: R 3c","Uniaxial (-)","02.GA.05 Neso-sulfarsenites","a = 10.79\u00a0\u00c5, c = 8.69\u00a0\u00c5 Z = 6","Ag<sub>3</sub>AsS<sub>3</sub>","Vermilion","Translucent, darkens when exposed to light","2 \u2013 2.5","Adamantine","240px-Proustite_-_Chanarcillo%2C_Copiapo_Province%2C_Atacama_Region%2C_Chile.jpg","n\u03c9 = 3.087 - 3.088 n\u03b5 = 2.792","Crystals prismatic and scalenohedral, massive, compact","5.57 measured, 5.625 calculated"
"Dark reddish brown, brownish black, black","Oxides","Pseudobrookite","Mineral","Oxide","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Bbmm","Spray of pseudobrookite needles from Topaz Mountain in Utah (size: 2.7 x 2.0 x 1.6 cm)","Distinct on {010}","Orthorhombic","Biaxial (+)","04.CB.15","a = 9.81 \u00c5, b = 9.95 \u00c5, c = 3.73 \u00c5; Z=8","Fe<sub>2</sub>TiO<sub>5</sub>","Brown","Opaque, transparent in thin splinters","6","Adamantine, greasy, metallic","240px-Pseudobrookite-219124.jpg","n\u03b1 = 2.350 n\u03b2 = 2.390 n\u03b3 = 2.420","Prismatic to needle like, striated","4.33\u20134.39"
"Dark emerald green to blackish green","Phosphates","Pseudomalachite","Mineral","Phosphate","Monoclinic 2/m","Pseudomalachite from Flinders County, New South Wales, Australia. Specimen size 4.3 cm","Perfect on {100}, distinct on {010}","Monoclinic prismatic","Biaxial (-)","08.BD.05","a = 4.47 \u00c5, b = 5.75 \u00c5, c = 17.05 \u00c5; \u03b2 = 91.06\u00b0; Z = 2","<sub>575</sub>.<sub>7</sub> g","Blue green, paler than the mineral","Translucent to subtranslucent","4.5-5","Vitreous","240px-Pseudomalachite.jpg","n\u03b1 = 1.791 n\u03b2 = 1.856 n\u03b3 = 1.867","Crystals, which are rare, are prismatic, usually with uneven faces. Pseudomalachite is commonly compact, reniform or botryoidal, or it may be fibrous or in crusts and films.","(Measured) 4.15 to 4.35"
,"Silicates","Pumpellyite","Mineral","Sorosilicate",,"A sample of pumpellyite",,,,"09.BG.20",,,,,,,"240px-Mineraly.sk_-_pumpellyit.jpg",,,
"Brownish black, violet, dark pink, dark red, reddish purple","Phosphates","Purpurite","Mineral","Phosphate",,"","  perfect","Orthorhombic (2/m 2/m 2/m) Space Group: P nmb","Biaxial (+) 2V 38\u00b0","08.AB.10",,"<sub>149</sub>.<sub>91</sub>","red",,"4-5","Earthy","240px-Purpurite_3341.jpg","n\u03b1 = 1.850(2) n\u03b2 = 1.860(2) n\u03b3 = 1.920(2)","Massive to granular","3.2 - 3.4"
"Purple","Other","Putnisite","Mineral","","Orthorhombic: Space group: Pnma","Putnisite, from Polar Bear Peninsula, Western Australia, Australia",",  and  good","Orthorhombic","Biaxial (\u2013)",,"a = 15.351 \u00c5, b = 20.421 \u00c5, c = 18.270 \u00c5","SrCa<sub>4</sub>Cr<sub>83</sub>+(CO<sub>3</sub>)<sub>8</sub>(SO<sub>4</sub>)(OH)<sub>16</sub>\u00b7<sub>25</sub> H<sub>2</sub>O","Pink","Translucent","1.5-2","Vitreous","240px-Putnisite.jpg","n\u03b1 = 1.552, n\u03b2 = 1.583 and n\u03b3 = 1.599","Pseudocubic crystals","2.20"
"Deep red to red gray","Sulfosalts","Pyrargyrite","Mineral","Sulfosalt","Trigonal ditrigonal pyramidalH-M symbol: (3m)Space group: R 3c","","Distinct on {1011}, imperfect on {0112}","Trigonal","Uniaxial (\u2013)","02.GA.05","a = 11.047 \u00c5, c = 8.719 \u00c5; Z=6","Ag<sub>3</sub>SbS<sub>3</sub>","dark cherry red","Translucent to nearly opaque","2.5","Adamantine","240px-Mineraly.sk_-_pyrargyrit.jpg","n\u03c9 = 3.084 n\u03b5 = 2.881","Include prismatic crystals with rhombohedral and scalenohedral faces forming terminations. massive, granular","5.82"
"Pale brass-yellow reflective; tarnishes darker and iridescent","Sulfides","Pyrite","Mineral","Sulfide","Isometric diploidalSpace group: Pa3H-M symbol: 2/m3","Pyrite cubic crystals on marl from Navaj\u00fan, La Rioja, Spain (size: 95 by 78 millimetres (3.7 by 3.1\u00a0in), 512 grams (18.1\u00a0oz); main crystal: 31 millimetres (1.2\u00a0in) on edge)","Indistinct on {001}; partings on {011} and {111}","Isometric",,"02.EB.05a","a = 5.417 \u00c5, Z=4","<sub>119</sub>.<sub>98</sub> g/mol","Greenish-black to brownish-black","Opaque","6\u20136.5","Metallic, glistening","240px-2780M-pyrite1.jpg",,"Cubic, faces may be striated, but also frequently octahedral and pyritohedron. Often inter-grown, massive, radiated, granular, globular, and stalactitic.","4.95\u20135.10"
"Black to brown, chocolate-brown, reddish brown, amber-orange, red-orange","Oxides","Pyrochlore","Mineral","Oxide","Isometric 4/m 3 2/m","Pyrochlore from Uganda","111 indistinct, may be a parting.","Isometric - Hexoctahedral","Isotropic, weak anomalous anisotropism","04.DH.15","a = 10.41(6) \u00c5, Z=8","(Na,Ca)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>(OH,F)","White","Subtranslucent to opaque","5.0\u20135.5","Vitreous to resinous","240px-Pyrochlor.jpg","n = 1.9\u20132.2","Typically octahedra, disseminated granular, massive","4.45 to 4.90"
"Darkish, black to lighter grey, sometimes bluish","Oxides","Pyrolusite","Mineral","Oxide",,"Botryoidal mass of pyrolusite from Tres Cruzes, Brazil","Perfect on 110","Tetragonal",,"04.DB.05",,"MnO<sub>2</sub>","Black to bluish-black",,"6\u20136.5, 2 when massive","Metallic, dull to earthy","240px-Pyrolusite_botryoidal.jpg","Opaque","Granular to massive: botryoidal. Crystals rare","4.4\u20135.06"
"Dark grass-green, green, yellow, yellow-orange, reddish orange, yellow-brown, brown, tan, grayish, may be colorless","Phosphates","Pyromorphite","Mineral","PhosphateApatite group",,"Yellow pyromorphite from Australia","Imperfect- ","Hexagonal - Dipyramidal H-M Symbol (6/m) Space Group: P 63/m","Uniaxial (-) May be anomalously biaxial -","08.BN.05",,"Pb<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl","White","Transparent to translucent","3.5-4","Resinous to subadamantine","240px-Pyromorphite_from_Australia.jpg","n\u03c9 = 2.058 n\u03b5 = 2.048","Prismatic to acicular crysals, globular to reniform","7.04 measured, 7.14 calculated"
"Red. Some varieties are very dark, almost black, while others can take tones of purple. Some chromium-rich pyropes are thermochromic, becoming green when heated","Silicates","Pyrope","Mineral","Nesosilicate",,"A gem-quality, emerald cut pyrope.","None","Cubic","Single refractive, often anomalous double refractive ","09.AD.25",,"Mg<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","White",,"7 - 7.5","greasy to vitreous ","250px-Pyrope.jpg","1.74 normal, but ranges from 1.714 to over 1.742 ","Euhedra typically display rhombic dodecahedral form, but trapezohedra are not uncommon, and hexoctahedra are seen in some rare samples. Massive and granular forms also occur.","3.78 (+.09 -.16) "
"Deep blood-red to greenish black","Oxides","Pyrophanite","Mineral","Oxide","Trigonal rhombohedralH-M symbol: (3)Space group: R3","","Perfect on {0221}","Trigonal","Uniaxial (-)","4.CB.05","a = 5.13948(7) \u00c5, c = 14.2829(4) \u00c5; Z=6","MnTiO<sub>3</sub>","Ochre yellow","Subtranslucent to opaque","5\u20136","Submetallic","240px-Pyrophanite-183958.jpg","n\u03c9 = 2.481 n\u03b5 = 2.210","Rarely as rosettes of hexagonal plates, typically granular, scaly; occurs as exsolution lamenae in franklinite and spinel","4.537 measured"
"Brown green, brownish yellow, greenish, gray green, gray white","Silicates","Pyrophyllite","Mineral","Silicate","Monoclinic / triclinic","Pearly radial cluster of pyrophyllite from Hillsboro District, Orange County, North Carolina (Size: 11 x 7.3 x 6.6 cm)"," Perfect","Monoclinic 2/m - prismatic or triclinic 1 pinacoidal","Biaxial (-)",,"a = 5.16 \u00c5, b = 8.966(3) \u00c5, c = 9.347(6) \u00c5; \u03b1 = 91.18\u00b0, \u03b2 = 100.46\u00b0, \u03b3 = 89.64\u00b0; Z = 2","<sub>360</sub>.<sub>31</sub>","white","Translucent to opaque","1.5-2","Pearly to dull","240px-Pyrophyllite-118706.jpg","n\u03b1=1.534-1.556, n\u03b2=1.586-1.589, n\u03b3=1.596-1.601","Compact spherulitic aggregates of needlelike radiating crystals; asfine grained foliated laminae, granular, massive","2.65 - 2.9"
"Yellow","Silicates","Pyroxferroite","Mineral","Inosilicate",,"Pyroxferroite","Good on (010), poor on (001)","Triclinic, space group P1 or P1; a = 0.66213 nm, b = 0.75506 nm, c = 1.73806 nm, \u03b1 = 114.267\u00b0, \u03b2 = 82.684\u00b0, \u03b3 = 94.756\u00b0, Z = 14","Biaxial (+)","09.DO.05",,"(Fe<sub>2</sub>+,Ca)SiO<sub>3</sub>","White",,"4.5\u20135.5","Vitreous","240px-Pyroxferroite-chain.png","n\u03b1 = 1.748\u20131.756n\u03b2 = 1.750\u20131.758n\u03b3 = 1.767\u20131.768",,"3.68\u20133.76 g/cm3 (measured)"
"pink, red, brown","Silicates","Pyroxmangite","Mineral","Inosilicate","1 pinacoidal","Pyroxmangite from Chubu Region, Honshu Island, Japan","Perfect on {110}, {110}, (110) ^ (110) = 92\u00b0 poor on {010}, {001}","Triclinic",,"09.DO.05","a = 9.69 \u00c5, b = 10.5 \u00c5, c = 17.39 \u00c5; \u03b1 = 112.17\u00b0, \u03b2 = 102.85\u00b0, \u03b3 = 82.93\u00b0; V 1,596.00 \u00c5\u00b3; Z = 14","MnSiO<sub>3</sub>","colorless","transparent, translucent","5\u00bd\u20136","vitreous, pearly","240px-Pyroxmangite-261781.jpg",,,"3.8"
"Bronze, dark brown","Other","Pyrrhotite","Mineral","","Monoclinic prismaticH-M symbol: (2/m)Space group: A2/a","Pyrrhotite \u2013 Santa Eulalia Mine, Chihuahua, Mexico (7,5x7cm).","Absent","Monoclinic, with hexagonal polytypes",,"02.CC.10","a = 11.88 \u00c5, b = 6.87 \u00c5, c = 22.79 \u00c5; \u03b2 = 90.47\u00b0 Z = 26","Fe<sub>1</sub>-xS (x = <sub>0</sub> to <sub>0</sub>.<sub>2</sub>)","Dark grey \u2013 black",,"3.5 \u2013 4.5","Metallic","240px-Pyrrhotite_Mexique.jpg","Opaque","Tabular or prismatic in hexagonal prisms; massive to granular","4.58 \u2013 4.65, average = 4.61"
"Tin white with a faint pinkish hue","Other","Rammelsbergite","Mineral","","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Pnnm","Rammelsbergite","Distinct on {101}","Orthorhombic (prismatic)","Strongly anisotropic","02.EB.15a","a = 4.759 \u00c5, b = 5.797 \u00c5, c = 3.539 \u00c5; Z=2","NiAs<sub>2</sub>","Grayish black","Opaque","5.5-6","Metallic","240px-Rammelsbergite-180028.jpg",,"Rarely as prismatic crystals; commonly massive, granular, radial, fibrous","7.0-7.1"
"White to colorless","Sulfates","Rapidcreekite","Mineral","SulfateCarbonate","Space group: PcnbPoint group: 2/m 2/m 2/m","Rapidcreekite from the Rapid Creek area, Yukon, Canada","Perfect on {010}Good on {100}","Orthorhombic","Biaxial (+)","7.DG.20","a = 15.517(2) \u00c5b = 19.226(3) \u00c5c = 6.1646(8) \u00c5Z = 8","Ca<sub>2</sub>(SO<sub>4</sub>)(CO<sub>3</sub>)\u00b7<sub>4</sub>H<sub>2</sub>O","White","Transparent","2","Vitreous","240px-Rapidcreekite_-_Rapid_Creek%2C_Yukon.jpg","n\u03b1 = 1.516n\u03b2 = 1.518n\u03b3 = 1.531","Elongated, flattened to acicular crystals in radiating sprays or crust forming","2.239 (calculated)"
,"Oxides","Raspite","Mineral","Oxide",,"Raspite",,,,"04.DG.20",,"PbWO<sub>4</sub>",,,,,"240px-Raspite-130810.jpg",,,
"Red to yellow-orange; in polished section, pale gray, with abundant yellow to red internal reflections","Sulfides","Realgar","Mineral","Sulfide","Monoclinic 2/m","Realgar crystals, Royal Reward Mine, King County, Washington, USA","Good on {010}; less so on {101}, {100}, {120}, and {110}","Monoclinic prismatic","Biaxial (-)","02.FA.15a","a = 9.325(3) \u00c5,b = 13.571(5) \u00c5,c = 6.587(3) \u00c5,\u03b2 = 106.43\u00b0; Z=16","As<sub>4</sub>S<sub>4</sub> or AsS","Red-orange to red","Transparent","1.5\u20132","Resinous to greasy","240px-Realgar-229713.jpg","n\u03b1 = 2.538n\u03b2 = 2.684n\u03b3 = 2.704","Prismatic striated crystals; more commonly massive, coarse to fine granular, or as incrustations","3.56"
"Bronze yellow, pinkish brown","Sulfides","Renierite","Mineral","Sulfide",,"","absent","Tetragonal",,"02.CB.35a",,"(Cu,Zn)<sub>11</sub>(Ge,As)<sub>2</sub>Fe<sub>4</sub>S<sub>16</sub>","dark gray",,"4.5","metallic","240px-Renierit.JPG","opaque","granular","4.4"
"Black, red translucent","Sulfides","Rheniite","Mineral","Sulfide","Triclinic pinacoidalH-M symbol: (1)Space group: P1","Rheniite, hardened lava on the backside, from the Kudriavy Volcano, Kurile Islands",,"Triclinic",,"02.EB.35","a = 6.47 \u00c5, b = 6.368 \u00c5, c = 6.401 \u00c5; \u03b1 = 105\u00b0, \u03b2 = 91.59\u00b0, \u03b3 = 118.9\u00b0; Z = 4","ReS<sub>2</sub>","Black","Opaque, translucent in thin fragments",,"Metallic","240px-Rheniite-34295.jpg",,"Platey",
"Pink, rose-red, cherry-red, yellow, yellowish gray, cinnamon-brown, may be banded","Carbonates","Rhodochrosite","Mineral","Carbonate","Trigonal hexagonal scalenohedralH-M symbol: (32/m)Space group: R3c","Rhodochrosite from Mina Capillitas, Province of Catamarca, Argentina","On {1011} perfect; parting on {1012}","Trigonal","Uniaxial (-)","05.AB.05","a = 4.777 \u00c5, c = 15.67 \u00c5; Z=6","<sub>114</sub>.<sub>95</sub> g/mol","White","Transparent to translucent","3.5-4","Vitreous to pearly","240px-Rhodochrosite-261714.jpg","n\u03c9 = 1.814 - 1.816 n\u03b5 = 1.596 - 1.598","Rhombohedral and scalenohedral crystals; also commonly bladed, columnar, stalactitic, botryoidal, granular or massive","3.7"
"Rose-pink to brownish red, gray, or yellow","Silicates","Rhodonite","Mineral","Inosilicate","Triclinic 1 pinacoidal","Rhodonite crystals in rock","Perfect on {110} and {110}, (110) ^ (110) = 92.5\u00b0; good on {001}","Triclinic - Pinacoidal H-M Symbol (1) Space Group: P1","Biaxial (+)","09.DK.05","a = 9.758 \u00c5, b = 10.499 \u00c5, c = 12.205 \u00c5; \u03b1 = 108.58\u00b0, \u03b2 = 102.92\u00b0, \u03b3 = 82.52\u00b0; Z = 20","(Mn<sub>2</sub>+,Fe<sub>2</sub>+,Mg,Ca)SiO<sub>3</sub>","White","Transparent to translucent","5.5 - 6.5","Vitreous to pearly","240px-Rodonita2EZ.jpg","n\u03b1 = 1.711 - 1.738 n\u03b2 = 1.714 - 1.741 n\u03b3 = 1.724 - 1.751","Tabular crystals, massive, granular","3.57 - 3.76"
"Brown, yellow, red, or green","Silicates","Richterite","Mineral","Inosilicates",,"Richterite. Wilberforce, Monmouth Township, Haliburton County, Ontario, Canada.","Perfect","Monoclinic","Biaxial (-)","09.DE.20",,"Na(NaCa)Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Pale yellow","Transparent to translucent","5-6","Vitreous","240px-Richterite-mrz156a.jpg","n\u03b1 = 1.615 n\u03b2 = 1.629 n\u03b3 = 1.636","Prismatic; acicular or asbestiform","3.0-3.5"
"Red-violet (fresh), darkens","Other","Rickardite","Mineral","Telluride",,"Rickardite on tellurium",,"Orthorhombic",,"02.BA.30",,"Cu<sub>7</sub>Te<sub>5</sub>","Red","Opaque","3\u00bd","Metallic","240px-Rickardite-D10104b.jpg",,,
"Black, dark blue; dark blue to yellow-green in thin section","Silicates","Riebeckite","Mineral","Silicate","Monoclinic 2/m","Black riebeckite in an alkaline pegmatite from Lindinosa near \u00c9visa, Corsica, France","Perfect on {110}, intersecting at 56\u00b0 and 124\u00b0; partings on {100} and {010}","Monoclinic - Prismatic","Biaxial (-)",,"a = 9.76 \u00c5, b = 18.04\u00a0\u00c5, c\u00a0=\u00a05.33\u00a0\u00c5; \u03b2 = 103.59\u00b0; Z=2","Na<sub>2</sub>(Fe<sub>2</sub>+<sub>3</sub>Fe<sub>3</sub>+<sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Pale to bluish gray","Semitransparent","6","Vitreous to silky","240px-Crystals_of_black_riebeckite_in_alkaline_pegmatite%2C_near_%C3%89visa_%28Corsica%2C_France%29.jpg","n\u03b1 = 1.680\u20131.698 n\u03b2 = 1.683\u20131.700 n\u03b3 = 1.685\u20131.706","As prismatic crystals, commonly fibrous, asbestiform; earthy, massive","3.28\u20133.44"
,"Silicates","Ringwoodite","Mineral","NesosilicatesSpinel group","Isometric hexoctahedralH-M symbol: 4/m32/mSpace group: Fd3m","Crystal (~150 micrometers across) of Fo90 composition blue ringwoodite synthesized at 20\u00a0GPa and 1200\u00a0\u00b0C.",,"Cubic","Isotropic","09.AC.15","a = 8.113 \u00c5; Z=8","Mg<sub>2</sub>SiO<sub>4</sub>",,"Semitransparent",,,"240px-BlueRingwoodite.jpg","n = 1.8","Microcrystalline aggregates","3.564 (Fo100); 3.691 (Fo90); 4.845 (Fa100)"
"Red, red-brown, deep red, bronzy brown, black","Phosphates","Robertsite","Mineral","Phosphate","Monoclinic 2/m prismatic","Robertsite spheres (reddish brown) on beraunite","Very good {100}","Monoclinic","Biaxial (-)","08.DH.30","a = 17.36 \u00c5, b = 19.53 \u00c5, c = 11.30 \u00c5; \u03b2 = 96.0\u00b0; Z = 12","Ca<sub>3</sub>(Mn<sub>3</sub>+)<sub>4</sub>[(OH)<sub>3</sub>| (PO<sub>4</sub>)<sub>2</sub>]<sub>2</sub>\u00b7<sub>3</sub>H<sub>2</sub>O","Chocolate-brown","Translucent","3\u00bd","Vitreous to resinous or waxy","240px-Robertsite-Beraunite-220952.jpg","n\u03b1 = 1.775 n\u03b2 = 1.820 n\u03b3 = 1.820","laty to wedge-shaped, pseudorhombohedral crystals; fibrous, in botryoidal to feathery aggregates","3.13 - 3.17"
"Emerald- to grass-green","Other","Rodalquilarite","Mineral","Tellurite","Triclinic pinacoidalSpace group: P1 or P1","Rodalquilarite crystals from a cavity in alunite","One good cleavage plane","Triclinic","Biaxial (-)","4.JL.05","a = 8.95 \u00c5, b = 5.09 \u00c5, c = 6.63 \u00c5; \u03b1 = 103.17\u00b0, \u03b2 = 107.08\u00b0, \u03b3 = 77.87\u00b0; Z=1","H<sub>3</sub>Fe<sub>3</sub>+<sub>2</sub>(Te<sub>4</sub>+O<sub>3</sub>)<sub>4</sub>Cl","Greenish yellow","Semitransparent","2 - 3","Greasy","240px-Rodalquilarite-130813.jpg","n\u03b1 = 2.100 n\u03b3 = 2.200","Crusts of stout crystals","4.97 - 5.15"
,"Oxides","Roman\u00e8chite","Mineral","Oxide",,"Roman\u00e8chite, from the Marquette County, Michigan, USA.",,"Tetragonal",,"04.DK.10",,"(Ba,H<sub>2</sub>O)<sub>2</sub>(Mn+<sub>4</sub>,Mn+<sub>3</sub>)<sub>5</sub>O<sub>10</sub>","Blue-black",,"6-6.5","Submetallic","240px-Romanechite.jpg",,,
"Honey-yellow","Other","Romeite","Mineral","",,"",,"hexoctahedral",,,,"(Ca,Fe,Mn,Na)<sub>2</sub>(Sb,Ti)<sub>2</sub>O<sub>6</sub>(O,OH,F)",,,"5.5\u20136.0",,"200px-Romeite-290541.jpg",,,
"Blue, bluish green, green","Carbonates","Rosasite","Mineral","Carbonate","Monoclinic prismatic H\u2013M Symbol 2/m Space group P21/a","Blue velvety mass lining a cavity","Perfect on {100} and {010}","Monoclinic","Biaxial (-)","05.BA.10","a = 12.873(3) \u00c5, b = 9.354(3) \u00c5, c = 3.156(2) \u00c5; \u03b2 = 110.36(3)\u00b0; Z = 4","(Cu,Zn)<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>","Light blue or green",,"4","Silky, vitreous to dull","240px-Rosasite.jpg","n\u03b1 = 1.672 - 1.688 n\u03b2 = 1.796 - 1.830 n\u03b3 = 1.811 - 1.831","Acicular crystals as radiating fibrous clusters; botryoidal; mammillary; encrustations","4-4.2"
"Dark rose red, pink","Arsenates","Roselite","Mineral","Arsenate","Monoclinic 2/m prismatic","Roselite druse in a vug from Morocco (size:12.8 x 8.5 x 5.9 cm)","{010} Perfect","Monoclinic","Biaxial (-)","08.CG.10","a = 5.801 \u00c5, b = 12.898 \u00c5, c = 5.617 \u00c5; \u03b2 = 107.42\u00b0; Z = 2","Ca<sub>2</sub>(Co<sub>2</sub>+, Mg)[AsO<sub>4</sub>]<sub>2</sub>\u00b7H<sub>2</sub>O","Light red",,"3.5","Vitreous","240px-Quartz-Roselite-tuc09110d.jpg","n\u03b1 = 1.725 n\u03b2 = 1.728 n\u03b3 = 1.735","Elongated crystals and spherical aggregates and druses","3.69"
"Colorless, white, pale green","Sulfates","Rozenite","Mineral","Sulfate",,"",,"Monoclinic - prismatic H-M Symbol (2/m) Space Group: P 21/n","Biaxial (-)","07.CB.15",,"Fe<sub>2</sub>+SO<sub>4</sub>\u2022<sub>4</sub>(H<sub>2</sub>O)","White","Semitransparent","2 - 3","Vitreous to dull","200px-Rozenit%2C_Maroko.jpg","n\u03b1 = 1.526 - 1.528 n\u03b2 = 1.536 - 1.537 n\u03b3 = 1.541 - 1.545","As concretions and nodules; most commonly as powdery efflorescences or coatings on melanterite","2.29"
"Orange, red-brown","Silicates","Ruizite","Mineral","Sorosilicate",,"Clusters of ruizite on calcite from South Africa",,"Monoclinic","Biaxial (-)","9.BJ.35","a = 11.95\u00c5, b = 6.17\u00c5c = 9.03\u00c5, \u03b2 = 91.37\u00b0Z = 4","Ca<sub>2</sub>Mn<sub>2</sub>Si<sub>4</sub>O<sub>11</sub>(OH)<sub>4</sub>\u00b7<sub>2</sub>H<sub>2</sub>O","Apricot","Translucent","5",,"240px-Ruizite-Calcite-180789.jpg","n\u03b1 = 1.663n\u03b2 = 1.715n\u03b3 = 1.734",,
